102000 0.0
2 707855 test0
2 780886 test1
2 885772 test2
2 140693 test3
2 295331 test4
2 295401 test5
2 645676 test6
2 390492 test7
2 726795 test8
2 600029 test9
2 91083 test10
2 817134 test11
2 957459 test12
2 369065 test13
2 29463 test14
2 785955 test15
2 197315 test16
2 463290 test17
2 832651 test18
2 398981 test19
2 123237 test20
2 784566 test21
2 872838 test22
2 565478 test23
2 305588 test24
2 347101 test25
2 894151 test26
2 106638 test27
2 339427 test28
2 89996 test29
2 501512 test30
2 915084 test31
2 603015 test32
2 198492 test33
2 832244 test34
2 583533 test35
2 947937 test36
2 814311 test37
2 498053 test38
2 213515 test39
2 477580 test40
2 571946 test41
2 127550 test42
2 108669 test43
2 406335 test44
2 365254 test45
2 516354 test46
2 221996 test47
2 21376 test48
2 138209 test49
1 
2 950416 test50
2 382853 test51
2 850854 test52
2 80425 test53
2 485596 test54
2 976266 test55
2 701577 test56
2 472185 test57
2 779466 test58
2 32003 test59
2 646152 test60
2 587156 test61
2 369097 test62
2 865555 test63
2 670454 test64
2 39693 test65
2 85898 test66
2 842021 test67
2 866529 test68
2 89737 test69
2 375004 test70
2 361221 test71
2 825601 test72
2 808989 test73
2 27302 test74
2 225803 test75
2 821498 test76
2 870737 test77
2 621248 test78
2 147826 test79
2 833678 test80
2 123462 test81
2 747054 test82
2 250182 test83
2 692130 test84
2 545139 test85
2 397561 test86
2 252348 test87
2 848363 test88
2 166603 test89
2 629420 test90
2 25436 test91
2 525685 test92
2 142587 test93
2 139432 test94
2 595161 test95
2 854352 test96
2 487631 test97
2 823397 test98
2 279169 test99
1 
2 972823 test100
2 141044 test101
2 425157 test102
2 126927 test103
2 975582 test104
2 932440 test105
2 518102 test106
2 269214 test107
2 464503 test108
2 234798 test109
2 459109 test110
2 630392 test111
2 503009 test112
2 559117 test113
2 242425 test114
2 41549 test115
2 224398 test116
2 561912 test117
2 796147 test118
2 740671 test119
2 91920 test120
2 749945 test121
2 530752 test122
2 138842 test123
2 728223 test124
2 924710 test125
2 884472 test126
2 902881 test127
2 532041 test128
2 449221 test129
2 299030 test130
2 868931 test131
2 227319 test132
2 805260 test133
2 632468 test134
2 390893 test135
2 18839 test136
2 721409 test137
2 792931 test138
2 592569 test139
2 72171 test140
2 666624 test141
2 835588 test142
2 854340 test143
2 965166 test144
2 246363 test145
2 479174 test146
2 31324 test147
2 597278 test148
2 10779 test149
1 
2 532572 test150
2 974232 test151
2 773803 test152
2 691237 test153
2 915738 test154
2 818371 test155
2 212154 test156
2 345144 test157
2 72524 test158
2 754160 test159
2 227030 test160
2 659091 test161
2 699379 test162
2 162225 test163
2 108276 test164
2 397171 test165
2 708829 test166
2 206882 test167
2 720929 test168
2 628666 test169
2 295648 test170
2 397856 test171
2 633290 test172
2 636267 test173
2 310963 test174
2 909528 test175
2 304231 test176
2 300306 test177
2 362024 test178
2 933818 test179
2 215110 test180
2 942721 test181
2 705226 test182
2 802123 test183
2 504944 test184
2 764020 test185
2 937487 test186
2 539354 test187
2 921977 test188
2 367830 test189
2 829818 test190
2 796938 test191
2 752169 test192
2 382109 test193
2 791696 test194
2 201358 test195
2 125826 test196
2 669392 test197
2 610868 test198
2 911156 test199
1 
2 171438 test200
2 559465 test201
2 830497 test202
2 492568 test203
2 246919 test204
2 723605 test205
2 385668 test206
2 987385 test207
2 873282 test208
2 272279 test209
2 325236 test210
2 26856 test211
2 129209 test212
2 261133 test213
2 254479 test214
2 782108 test215
2 885075 test216
2 720843 test217
2 589042 test218
2 892259 test219
2 322514 test220
2 137060 test221
2 37972 test222
2 92019 test223
2 583288 test224
2 939975 test225
2 9727 test226
2 869983 test227
2 269655 test228
2 297861 test229
2 4525 test230
2 783141 test231
2 455988 test232
2 779056 test233
2 515259 test234
2 558115 test235
2 607895 test236
2 781023 test237
2 490764 test238
2 760618 test239
2 359858 test240
2 999823 test241
2 661245 test242
2 43 test243
2 816363 test244
2 446820 test245
2 376192 test246
2 257422 test247
2 984456 test248
2 934669 test249
1 
2 118807 test250
2 599842 test251
2 45686 test252
2 790149 test253
2 682159 test254
2 512175 test255
2 81206 test256
2 221941 test257
2 45847 test258
2 576998 test259
2 811941 test260
2 216374 test261
2 255707 test262
2 875706 test263
2 419302 test264
2 788853 test265
2 672705 test266
2 383880 test267
2 57582 test268
2 929648 test269
2 583647 test270
2 524593 test271
2 727339 test272
2 344412 test273
2 324631 test274
2 491528 test275
2 85394 test276
2 904809 test277
2 979377 test278
2 179751 test279
2 336644 test280
2 494301 test281
2 706131 test282
2 436252 test283
2 6172 test284
2 974557 test285
2 584223 test286
2 806529 test287
2 591383 test288
2 215819 test289
2 266153 test290
2 245161 test291
2 527521 test292
2 927496 test293
2 434132 test294
2 913462 test295
2 836024 test296
2 109274 test297
2 82056 test298
2 841416 test299
1 
2 261823 test300
2 451049 test301
2 614097 test302
2 267344 test303
2 650145 test304
2 722276 test305
2 397271 test306
2 963906 test307
2 402656 test308
2 191169 test309
2 348086 test310
2 100073 test311
2 693561 test312
2 495649 test313
2 753338 test314
2 659092 test315
2 949750 test316
2 615057 test317
2 484600 test318
2 300974 test319
2 195728 test320
2 392301 test321
2 599179 test322
2 248108 test323
2 785662 test324
2 629791 test325
2 941354 test326
2 229855 test327
2 639902 test328
2 933125 test329
2 488867 test330
2 307945 test331
2 519551 test332
2 512497 test333
2 981110 test334
2 305036 test335
2 373897 test336
2 522953 test337
2 447056 test338
2 752286 test339
2 960073 test340
2 541519 test341
2 814755 test342
2 520153 test343
2 226205 test344
2 172539 test345
2 536030 test346
2 761678 test347
2 470521 test348
2 934405 test349
1 
2 443790 test350
2 714810 test351
2 54611 test352
2 76863 test353
2 443793 test354
2 233841 test355
2 771633 test356
2 968606 test357
2 439410 test358
2 386743 test359
2 175181 test360
2 202009 test361
2 122086 test362
2 117422 test363
2 567777 test364
2 271337 test365
2 409122 test366
2 878761 test367
2 553045 test368
2 222833 test369
2 129559 test370
2 837022 test371
2 547651 test372
2 148728 test373
2 833995 test374
2 699322 test375
2 134819 test376
2 125265 test377
2 84309 test378
2 254607 test379
2 558936 test380
2 724060 test381
2 76277 test382
2 678825 test383
2 753878 test384
2 805797 test385
2 305422 test386
2 282174 test387
2 736494 test388
2 406953 test389
2 632576 test390
2 800067 test391
2 342839 test392
2 4217 test393
2 469542 test394
2 173467 test395
2 599003 test396
2 812920 test397
2 429481 test398
2 414890 test399
1 
2 480763 test400
2 517247 test401
2 134207 test402
2 566600 test403
2 135808 test404
2 742303 test405
2 420676 test406
2 985426 test407
2 992127 test408
2 3142 test409
2 742387 test410
2 349274 test411
2 69640 test412
2 770298 test413
2 587649 test414
2 467710 test415
2 242060 test416
2 120771 test417
2 33238 test418
2 399574 test419
2 572904 test420
2 867110 test421
2 669865 test422
2 498951 test423
2 932562 test424
2 879307 test425
2 478838 test426
2 106229 test427
2 324062 test428
2 500352 test429
2 986975 test430
2 648661 test431
2 263598 test432
2 565782 test433
2 955165 test434
2 778144 test435
2 360308 test436
2 531433 test437
2 439393 test438
2 568355 test439
2 241317 test440
2 317502 test441
2 475467 test442
2 638003 test443
2 687421 test444
2 79428 test445
2 676869 test446
2 172286 test447
2 870696 test448
2 733053 test449
1 
2 883774 test450
2 478781 test451
2 451860 test452
2 926902 test453
2 433343 test454
2 21702 test455
2 784145 test456
2 574962 test457
2 114795 test458
2 813118 test459
2 83873 test460
2 543333 test461
2 494999 test462
2 444012 test463
2 519202 test464
2 223452 test465
2 843203 test466
2 31592 test467
2 749717 test468
2 318906 test469
2 421749 test470
2 725042 test471
2 747210 test472
2 94236 test473
2 502193 test474
2 28959 test475
2 362026 test476
2 291102 test477
2 823511 test478
2 314989 test479
2 410401 test480
2 773431 test481
2 636441 test482
2 595832 test483
2 654630 test484
2 286719 test485
2 127062 test486
2 765382 test487
2 618280 test488
2 161490 test489
2 727832 test490
2 903229 test491
2 751894 test492
2 625996 test493
2 368615 test494
2 476660 test495
2 920715 test496
2 32243 test497
2 713096 test498
2 823270 test499
1 
2 175573 test500
2 11381 test501
2 104213 test502
2 552451 test503
2 985824 test504
2 754886 test505
2 92602 test506
2 873888 test507
2 241092 test508
2 407083 test509
2 825673 test510
2 905167 test511
2 333544 test512
2 411797 test513
2 470075 test514
2 91978 test515
2 563729 test516
2 372965 test517
2 424772 test518
2 635785 test519
2 180427 test520
2 435086 test521
2 909714 test522
2 362099 test523
2 940210 test524
2 721113 test525
2 842721 test526
2 97073 test527
2 747869 test528
2 67713 test529
2 748349 test530
2 167837 test531
2 659560 test532
2 915006 test533
2 591894 test534
2 28505 test535
2 483357 test536
2 771871 test537
2 560825 test538
2 768893 test539
2 6527 test540
2 126352 test541
2 141105 test542
2 225064 test543
2 360114 test544
2 915260 test545
2 375033 test546
2 189239 test547
2 849098 test548
2 48715 test549
1 
2 761628 test550
2 536532 test551
2 119470 test552
2 874956 test553
2 513067 test554
2 440294 test555
2 94440 test556
2 348847 test557
2 562459 test558
2 605734 test559
2 801101 test560
2 545961 test561
2 928760 test562
2 970321 test563
2 501508 test564
2 263866 test565
2 628426 test566
2 306297 test567
2 180980 test568
2 68619 test569
2 168579 test570
2 548023 test571
2 807118 test572
2 12016 test573
2 740641 test574
2 251835 test575
2 884660 test576
2 206734 test577
2 940774 test578
2 841796 test579
2 231556 test580
2 591638 test581
2 923058 test582
2 158571 test583
2 630406 test584
2 405551 test585
2 321786 test586
2 122073 test587
2 957678 test588
2 152690 test589
2 811559 test590
2 675608 test591
2 387789 test592
2 867407 test593
2 91789 test594
2 504903 test595
2 84507 test596
2 115533 test597
2 40838 test598
2 205416 test599
1 
2 630809 test600
2 193838 test601
2 576235 test602
2 15315 test603
2 529190 test604
2 846320 test605
2 568622 test606
2 293901 test607
2 248160 test608
2 345712 test609
2 711703 test610
2 22900 test611
2 990517 test612
2 779114 test613
2 424793 test614
2 837713 test615
2 831813 test616
2 91 test617
2 754384 test618
2 588944 test619
2 341493 test620
2 887239 test621
2 414810 test622
2 605131 test623
2 638803 test624
2 355542 test625
2 243791 test626
2 749186 test627
2 66273 test628
2 479450 test629
2 872286 test630
2 838439 test631
2 699456 test632
2 822444 test633
2 106565 test634
2 640726 test635
2 663483 test636
2 752052 test637
2 31980 test638
2 648866 test639
2 694764 test640
2 993158 test641
2 689567 test642
2 894795 test643
2 114383 test644
2 207913 test645
2 157351 test646
2 803787 test647
2 940065 test648
2 769076 test649
1 
2 250947 test650
2 263311 test651
2 815028 test652
2 723154 test653
2 507400 test654
2 947331 test655
2 315410 test656
2 465188 test657
2 659794 test658
2 472390 test659
2 796683 test660
2 296069 test661
2 591654 test662
2 81725 test663
2 488286 test664
2 383465 test665
2 334054 test666
2 837891 test667
2 26432 test668
2 502046 test669
2 678063 test670
2 606590 test671
2 336971 test672
2 733173 test673
2 51283 test674
2 832397 test675
2 548038 test676
2 655674 test677
2 207214 test678
2 341213 test679
2 178317 test680
2 857374 test681
2 758439 test682
2 428763 test683
2 603037 test684
2 349494 test685
2 331205 test686
2 675140 test687
2 77310 test688
2 653020 test689
2 200427 test690
2 982808 test691
2 56141 test692
2 197875 test693
2 474674 test694
2 665005 test695
2 244901 test696
2 563657 test697
2 774305 test698
2 976863 test699
1 
2 594026 test700
2 78741 test701
2 286667 test702
2 892069 test703
2 805681 test704
2 509599 test705
2 144134 test706
2 264575 test707
2 246543 test708
2 775039 test709
2 720451 test710
2 694027 test711
2 416829 test712
2 826301 test713
2 285135 test714
2 365047 test715
2 532837 test716
2 556760 test717
2 316197 test718
2 435409 test719
2 110220 test720
2 266658 test721
2 228077 test722
2 759995 test723
2 52827 test724
2 957640 test725
2 676373 test726
2 72570 test727
2 589451 test728
2 101616 test729
2 448075 test730
2 978669 test731
2 641004 test732
2 3579 test733
2 797972 test734
2 453466 test735
2 196115 test736
2 304938 test737
2 951116 test738
2 500004 test739
2 227806 test740
2 796892 test741
2 99642 test742
2 431385 test743
2 580773 test744
2 778869 test745
2 167887 test746
2 157800 test747
2 641151 test748
2 650011 test749
1 
2 417723 test750
2 306415 test751
2 312686 test752
2 546970 test753
2 864109 test754
2 131763 test755
2 740776 test756
2 496551 test757
2 860581 test758
2 546921 test759
2 215811 test760
2 130562 test761
2 996343 test762
2 292017 test763
2 574396 test764
2 334708 test765
2 7518 test766
2 271714 test767
2 443875 test768
2 515960 test769
2 899066 test770
2 886976 test771
2 882407 test772
2 598966 test773
2 988519 test774
2 41162 test775
2 403834 test776
2 551786 test777
2 343100 test778
2 375792 test779
2 797152 test780
2 597412 test781
2 575389 test782
2 513250 test783
2 875162 test784
2 165288 test785
2 8829 test786
2 966724 test787
2 429545 test788
2 834293 test789
2 586164 test790
2 420350 test791
2 325825 test792
2 655011 test793
2 317177 test794
2 771951 test795
2 974284 test796
2 918181 test797
2 195196 test798
2 417153 test799
1 
2 513239 test800
2 22574 test801
2 784099 test802
2 728855 test803
2 929565 test804
2 718129 test805
2 40862 test806
2 885923 test807
2 204014 test808
2 101568 test809
2 846889 test810
2 521045 test811
2 952700 test812
2 688726 test813
2 944158 test814
2 326574 test815
2 222082 test816
2 390192 test817
2 800628 test818
2 313523 test819
2 100241 test820
2 148053 test821
2 701272 test822
2 65340 test823
2 152889 test824
2 347191 test825
2 622822 test826
2 555116 test827
2 910672 test828
2 921906 test829
2 4932 test830
2 160443 test831
2 237602 test832
2 404337 test833
2 425371 test834
2 827822 test835
2 532149 test836
2 178992 test837
2 895347 test838
2 615912 test839
2 750519 test840
2 473755 test841
2 769898 test842
2 379162 test843
2 88646 test844
2 478294 test845
2 345169 test846
2 337495 test847
2 575132 test848
2 789206 test849
1 
2 223396 test850
2 604674 test851
2 111254 test852
2 904300 test853
2 43363 test854
2 623848 test855
2 571423 test856
2 26402 test857
2 18577 test858
2 353322 test859
2 402173 test860
2 41342 test861
2 643912 test862
2 846867 test863
2 168376 test864
2 46436 test865
2 854391 test866
2 555336 test867
2 541474 test868
2 495127 test869
2 967354 test870
2 231837 test871
2 87432 test872
2 482592 test873
2 539412 test874
2 528068 test875
2 75763 test876
2 74439 test877
2 776204 test878
2 883104 test879
2 265051 test880
2 43710 test881
2 55009 test882
2 807096 test883
2 159401 test884
2 1374 test885
2 663594 test886
2 453511 test887
2 475560 test888
2 105288 test889
2 600015 test890
2 678320 test891
2 667143 test892
2 438893 test893
2 528734 test894
2 341262 test895
2 174157 test896
2 131690 test897
2 912523 test898
2 165353 test899
1 
2 31962 test900
2 290379 test901
2 28487 test902
2 186438 test903
2 768597 test904
2 457457 test905
2 139771 test906
2 845078 test907
2 813495 test908
2 327822 test909
2 919841 test910
2 848142 test911
2 148275 test912
2 266060 test913
2 225727 test914
2 104534 test915
2 467265 test916
2 919437 test917
2 709825 test918
2 254619 test919
2 596550 test920
2 424718 test921
2 6579 test922
2 452159 test923
2 647458 test924
2 969509 test925
2 185688 test926
2 687280 test927
2 819413 test928
2 685545 test929
2 769577 test930
2 699670 test931
2 220302 test932
2 27376 test933
2 21293 test934
2 135846 test935
2 278226 test936
2 183411 test937
2 45617 test938
2 139668 test939
2 348742 test940
2 882574 test941
2 547749 test942
2 715429 test943
2 870233 test944
2 978980 test945
2 837779 test946
2 10338 test947
2 873104 test948
2 430304 test949
1 
2 62909 test950
2 946728 test951
2 122095 test952
2 349910 test953
2 977169 test954
2 646877 test955
2 63105 test956
2 74567 test957
2 950795 test958
2 853629 test959
2 107909 test960
2 23427 test961
2 850599 test962
2 874386 test963
2 419765 test964
2 101417 test965
2 661698 test966
2 729730 test967
2 797299 test968
2 941194 test969
2 675213 test970
2 202818 test971
2 658003 test972
2 479212 test973
2 824556 test974
2 410665 test975
2 69951 test976
2 629866 test977
2 529457 test978
2 561183 test979
2 48843 test980
2 994489 test981
2 984431 test982
2 742388 test983
2 885206 test984
2 124357 test985
2 362110 test986
2 277069 test987
2 419289 test988
2 961977 test989
2 571147 test990
2 694648 test991
2 554703 test992
2 603934 test993
2 232793 test994
2 369185 test995
2 829953 test996
2 361691 test997
2 825688 test998
2 567582 test999
1 
2 122989 test1000
2 192283 test1001
2 621984 test1002
2 694629 test1003
2 56722 test1004
2 316556 test1005
2 285834 test1006
2 846941 test1007
2 594843 test1008
2 701955 test1009
2 212971 test1010
2 6545 test1011
2 718757 test1012
2 940156 test1013
2 485038 test1014
2 937793 test1015
2 577007 test1016
2 419583 test1017
2 169805 test1018
2 905427 test1019
